============================================================================
 episode    eps   Q-size   states  finished   vs Rand  vs Greedy    time
----------------------------------------------------------------------------
     500  0.905   14,006   10,566   500/500    60.0%     36.0%    3.7s
  44,000  0.050   62,950   36,828   500/500    81.0%     50.0%  178.3s
  44,500  0.050   62,997   36,852   500/500    75.0%     44.0%  180.0s
  45,000  0.050   63,047   36,871   500/500    81.0%     58.0%  181.5s
  45,500  0.050   63,095   36,890   500/500    87.0%     54.0%  183.2s
  46,000  0.050   63,147   36,907   500/500    77.0%     51.0%  184.9s
  46,500  0.050   63,216   36,950   500/500    81.0%     46.0%  187.0s
  47,000  0.050   63,262   36,970   500/500    76.0%     55.0%  188.7s
  47,500  0.050   63,329   37,003   500/500    75.0%     47.0%  190.3s
  48,000  0.050   63,391   37,035   500/500    78.0%     48.0%  192.0s
  48,500  0.050   63,426   37,050   500/500    84.0%     51.0%  193.6s
  49,000  0.050   63,476   37,074   499/500    78.0%     56.0%  195.2s
  49,500  0.050   63,514   37,091   499/500    78.0%     50.0%  197.0s
  50,000  0.050   63,572   37,126   500/500    78.0%     58.0%  199.1s
  50,500  0.050   63,632   37,147   500/500    78.0%     46.0%  201.1s
  51,000  0.050   63,726   37,200   500/500    83.0%     45.0%  202.9s
  51,500  0.050   63,771   37,223   500/500    84.0%     57.0%  204.4s
  52,000  0.050   63,817   37,252   500/500    75.0%     55.0%  206.0s
  52,500  0.050   63,880   37,284   500/500    80.0%     46.0%  207.5s
  53,000  0.050   63,921   37,297   500/500    78.0%     43.0%  209.1s
  53,500  0.050   63,973   37,320   500/500    76.0%     49.0%  211.2s
  54,000  0.050   64,008   37,335   500/500    78.0%     57.0%  213.7s
  54,500  0.050   64,030   37,340   500/500    82.0%     56.0%  215.7s
  55,000  0.050   64,083   37,365   500/500    78.0%     52.0%  217.4s
  55,500  0.050   64,126   37,383   500/500    79.0%     43.0%  219.2s
  56,000  0.050   64,170   37,400   500/500    75.0%     48.0%  221.1s
  56,500  0.050   64,245   37,443   500/500    82.0%     45.0%  222.8s
  57,000  0.050   64,284   37,466   500/500    77.0%     49.0%  224.7s
  57,500  0.050   64,333   37,483   500/500    78.0%     53.0%  226.6s
  58,000  0.050   64,367   37,496   499/500    73.0%     49.0%  228.7s
  58,500  0.050   64,418   37,522   500/500    73.0%     46.0%  230.8s
  59,000  0.050   64,449   37,531   500/500    92.0%     48.0%  233.8s
  59,500  0.050   64,500   37,556   500/500    83.0%     51.0%  235.8s
  60,000  0.050   64,537   37,571   499/500    76.0%     53.0%  237.8s
  60,500  0.050   64,603   37,609   500/500    72.0%     53.0%  239.9s
  61,000  0.050   64,639   37,628   500/500    80.0%     45.0%  241.7s
  61,500  0.050   64,682   37,650   500/500    76.0%     50.0%  243.6s
  62,000  0.050   64,754   37,691   500/500    74.0%     48.0%  245.6s
  62,500  0.050   64,800   37,711   500/500    82.0%     54.0%  247.8s
  63,000  0.050   64,857   37,741   500/500    77.0%     41.0%  249.8s
  63,500  0.050   64,908   37,762   500/500    78.0%     49.0%  251.7s
  64,000  0.050   64,957   37,791   500/500    82.0%     50.0%  255.4s
  64,500  0.050   65,003   37,810   500/500    81.0%     37.0%  263.2s
  65,000  0.050   65,040   37,824   500/500    81.0%     50.0%  268.1s
  65,500  0.050   65,084   37,843   500/500    82.0%     46.0%  272.5s
  66,000  0.050   65,142   37,872   500/500    75.0%     53.0%  277.3s
  66,500  0.050   65,177   37,886   500/500    74.0%     56.0%  281.7s
  67,000  0.050   65,235   37,918   499/500    84.0%     58.0%  285.7s
  67,500  0.050   65,282   37,941   500/500    80.0%     34.0%  291.0s
  68,000  0.050   65,333   37,966   500/500    82.0%     48.0%  294.9s
  68,500  0.050   65,360   37,978   500/500    74.0%     47.0%  299.1s
  69,000  0.050   65,398   37,996   500/500    79.0%     47.0%  303.4s
  69,500  0.050   65,445   38,019   499/500    75.0%     48.0%  308.0s
  70,000  0.050   65,478   38,033   500/500    84.0%     48.0%  312.9s
  70,500  0.050   65,531   38,055   500/500    91.0%     50.0%  319.5s
  71,000  0.050   65,560   38,062   500/500    80.0%     48.0%  324.4s
  71,500  0.050   65,609   38,095   500/500    79.0%     50.0%  328.5s
  72,000  0.050   65,683   38,129   500/500    81.0%     56.0%  333.7s
  72,500  0.050   65,712   38,142   499/500    74.0%     52.0%  338.4s
  73,000  0.050   65,748   38,156   500/500    77.0%     42.0%  343.7s
  73,500  0.050   65,797   38,182   500/500    83.0%     48.0%  348.5s
  74,000  0.050   65,878   38,224   500/500    76.0%     50.0%  351.7s
  74,500  0.050   65,953   38,265   499/500    78.0%     50.0%  355.1s
  75,000  0.050   66,025   38,292   499/500    78.0%     51.0%  359.6s
  75,500  0.050   66,081   38,317   500/500    83.0%     51.0%  363.4s
  76,000  0.050   66,119   38,334   500/500    78.0%     52.0%  369.0s
  76,500  0.050   66,156   38,346   500/500    78.0%     57.0%  375.7s
  77,000  0.050   66,191   38,364   500/500    74.0%     47.0%  382.5s
  77,500  0.050   66,228   38,378   500/500    80.0%     50.0%  387.4s
  78,000  0.050   66,256   38,394   500/500    75.0%     45.0%  392.3s
  78,500  0.050   66,279   38,405   500/500    77.0%     45.0%  397.0s
  79,000  0.050   66,324   38,426   500/500    81.0%     42.0%  401.6s
  79,500  0.050   66,360   38,443   500/500    82.0%     46.0%  406.5s
  80,000  0.050   66,389   38,457   500/500    74.0%     48.0%  411.1s
  80,500  0.050   66,422   38,475   500/500    80.0%     49.0%  415.3s
  81,000  0.050   66,439   38,483   500/500    71.0%     42.0%  422.2s
  81,500  0.050   66,486   38,510   500/500    76.0%     51.0%  429.1s
  82,000  0.050   66,546   38,538   500/500    83.0%     53.0%  434.7s
  82,500  0.050   66,604   38,565   500/500    82.0%     53.0%  440.5s
  83,000  0.050   66,651   38,595   500/500    83.0%     52.0%  445.2s
  83,500  0.050   66,693   38,615   500/500    74.0%     33.0%  450.9s
  84,000  0.050   66,761   38,642   500/500    81.0%     51.0%  456.5s
  84,500  0.050   66,787   38,657   499/500    72.0%     50.0%  461.9s
  85,000  0.050   66,815   38,671   500/500    75.0%     51.0%  466.2s
  85,500  0.050   66,879   38,701   500/500    79.0%     45.0%  471.0s
  86,000  0.050   66,930   38,725   500/500    78.0%     50.0%  476.4s
  86,500  0.050   66,956   38,738   499/500    76.0%     52.0%  481.1s
  87,000  0.050   66,995   38,761   500/500    80.0%     50.0%  486.6s
  87,500  0.050   67,018   38,772   500/500    76.0%     57.0%  492.1s
  88,000  0.050   67,046   38,784   500/500    78.0%     42.0%  498.3s
  88,500  0.050   67,103   38,811   500/500    71.0%     47.0%  503.6s
  89,000  0.050   67,178   38,853   500/500    71.0%     45.0%  507.8s
  89,500  0.050   67,214   38,870   500/500    76.0%     55.0%  512.4s
  90,000  0.050   67,260   38,891   500/500    74.0%     52.0%  517.0s
  90,500  0.050   67,315   38,917   500/500    79.0%     44.0%  521.3s
  91,000  0.050   67,342   38,925   499/500    72.0%     47.0%  525.7s
  91,500  0.050   67,387   38,944   500/500    76.0%     57.0%  530.4s
  92,000  0.050   67,420   38,957   500/500    81.0%     50.0%  534.6s
  92,500  0.050   67,464   38,977   500/500    75.0%     49.0%  539.8s
  93,000  0.050   67,499   38,993   500/500    75.0%     52.0%  544.7s
  93,500  0.050   67,543   39,016   500/500    79.0%     52.0%  548.7s
  94,000  0.050   67,584   39,034   500/500    80.0%     44.0%  553.3s
  94,500  0.050   67,616   39,047   499/500    80.0%     44.0%  558.0s
  95,000  0.050   67,669   39,075   499/500    80.0%     46.0%  562.6s
  95,500  0.050   67,708   39,085   500/500    73.0%     49.0%  567.0s
  96,000  0.050   67,731   39,094   500/500    69.0%     47.0%  571.6s
  96,500  0.050   67,784   39,124   500/500    70.0%     44.0%  577.0s
  97,000  0.050   67,826   39,151   500/500    76.0%     46.0%  581.3s
  97,500  0.050   67,871   39,176   500/500    82.0%     44.0%  586.7s
  98,000  0.050   67,899   39,187   500/500    80.0%     51.0%  591.9s
  98,500  0.050   67,925   39,197   500/500    75.0%     42.0%  597.0s
  99,000  0.050   67,952   39,208   500/500    76.0%     44.0%  601.7s
  99,500  0.050   67,975   39,218   500/500    77.0%     44.0%  606.2s
 100,000  0.050   68,027   39,242   500/500    76.0%     36.0%  611.0s
----------------------------------------------------------------------------
Done in 611.1s (6.1 ms/episode)
Final Q-table: 68,027 entries, 39,242 distinct states
Saved agent  -> runs/run1\agent.pkl
